,SA,Saudia_Arabia,singapore,Spain,srilanka,sweden,switzerland,taiwan,tanzania,thailand,Togo,Turkey,UAE,uganda,ukraine,uruguay,US,uzbekistan,Venezuela,Vietnam,Yemen,zambia,zimbabwe
10,Lenmed Investments Ltd,Medtronic,0,0,Gamma Pharmaceuticals Pvt. Ltd and Interpharm Pvt,Medicover,Swiss Medical Aesthetics,UMC,ROWSi,0,Jang & Sons Enterprise Ltd ,Ko?ak Farma,0,Ebenezer Ltd Clinical Laboratory,Smilefood,Hogar Israelita de Ancianos,0,,,Kim Dental,Al-Amal Specialised Hospital,,NOMWE BIOTECH
11,Life Healthcare Group (Pty) Ltd,Sultan Bin Abdulaziz Humanitarian City,Aslan Pharmaceuticals,Jose Manuel Pascual Pascual,Bio Extracts,Region Örebro län,Rein Medical,HMD Biomedical,Immunolabs Medical Supplies,Biovalys,,IE Menarini,Other related lists:,Life Pharma Africa,Medivet,Universidad de la Republica Uruguay,Oscar Health,,,OPC Pharmaceutical Join-Stock,Mayo Hospital,,NATLAB
12,Mediclinic International Plc,Julphar,CXA Group,Moehs Ibérica,Vision Care Optical Services,Recipharm,Loop Medical,YongLin Healthcare Foundation,ImpactAfya,Pueraria Mirifica.com,,Egemed Hospitals,nuviun,Meridian Tech Systems,Perfect Surrogacy Coordination Center - Egg donation and surrogacy,Fundación Cazabajones,Ro,,,Nanogen Pharmaceutical Biotechnology,Jalpharma,,PCD Diagnostics Private
13,Medicross Healthcare Group (Pty) Ltd,Andalusia for Medical Services - Egypt,Doctor Anywhere,General Electric Healthcare España,Eser Marketing Fitness,Bräcke Diakoni,Swiss Healthcare Services,Summa Health System,Umati,Picnic Plast Industrial,,Pharmactive,Dr. A. R. Shamma Medical Centre,GRACE Laboratories,Smd,0,Cityblock Health,,,Ben Tre Pharmaceutical JSC,0,,Diagnostic Laboratory Suppliers
14,Mellins I Style Optometrists Inc,CMAI Medical Center,Holmusk,Bidafarma,Lanka Hospitals Diagnostics,Södersjukhuset,Anandic Medical Systems Ag/Sa,Advisory Board,KaMpa Health Products,Mercator Pharma,,Eczacibasi - Baxter Hastane ?r?nleri Sanayi ve Ticaret A.S,Sultan Al Olama Medical Center (SAMC),Approval Solutions,OTAVAchemicals,Mega Pharma,maude,,,VietValues,Tajdeed Company,,Lancet Clinical Laboratories Zimbabwe
15,Metropolitan Health Risk Management (Pty) Ltd,National Medical CARE,DocDoc,Institut de Diagnòstic per la Imatge (IDI,Tabrane Pharmaceuticals,AniCura Group,Cerjo,0,Alira,DOVE Biotech,,Esteworld,Topmed,Teheca,VETSINTEZ,Biokit,Bristol-Myers Squibb,,,Jade Spa,Impact Research Center,,Bymed Medical & Scientific
16,Moffatt Inc,"Delta Automotive, Industries",Attune Technologies,Consorci Sanitari del Maresme,Kish International,Sala,Physic Wellness Club Delémont,"3218
Universal Vision Biotechnology",C Labs,Happy Heart Home,,Ata?ehir Estethica Cerrahi T?p Merkezi,Mazrui International,Precise Diagnostic,Lekhim Closed Joint Stock,AMECOM - Asistencial Medica Cooperativa de Maldonado,Medtronic,,,Vando.vn - Thin ng Ph Kin,Kayan Medical Company,,Genius Forensic Services
17,National Health Laboratory Service,Aldara Hospital and Medical Center,Lucence,AstraZeneca Spain,Nethra Optics,VaraNet,"MESA, Sagl","4107
Bioteque",Tanzania Veterinary Laboratory Agency,Dr. Somchai,,Farabi Hastanesi,NMC Specialty Hospital,INS ORTHOTICS,Yuria-Pharm,Grupo Biotoscana,Forward,,,American Vietnamese Biotech Incorporation,Senan Medical Laboratories,,Nectacare. Designed
18,National Hospital Network,CCM Group - Greece,EndoMaster,Pfizer Spain,Bio Extracts,Ronneby,CANDULOR,"7555
MEM Dental Technology",Kamanga Medics,Biolab,,Estetik International Health Group,Hill-Rom,Telemed Technologies,ESMAR,Asociacion Medica de San Jose Coop,Innovaccer,,,Nha Khoa Uy Tn Hàng u,Freiburg Medical Laboratory,,Island Hospice
19,Netcare Ltd,Tamweil Consultant Office,Biolidics,Uriach,Vitawell,Arvika,Sidroga,"8406
Ginko International",Msimbazi Eye Centre,ADINOP,,Drogsan Pharmaceuticals,Silkor Laser Medical Center,Human Diagnostics Uganda,Medigran,Activa CRO,Merck,,,Lamdong Pharmaceutical JSC,Tabebe,,Harare Oncology Centre
20,Prime Cure Health (Pty) Ltd,Mouwasat Hospital,Immunoscape,Cinfa Companies,0,0,Novartis,"6572
PlexBio",0,Medicpharma Co.,,0,Al Faisaliah Medical Systems (FMS),0,0,Laboratorios Haymann,Hinge Health,,,0,Scripps Research Institute,,Compre Health Services
21,South African National Blood Service,King Khaled Eye Specialist Hospital (KKESH), Advertise your startup,Kern Pharma,Colombo Medical,Gagnefs,genetically modified crops,"6734
iXensor",Kitengule Hospital,OVSys,,ICON,Stryker,Jubilee Dental Clinic,Dana MC,Prondil,Cedar,,,Pccc Song Anh,Veggie Lisa,,Pathology Laboratories
22,Spec Savers South Africa (Pty) Ltd,Crown Health Services,Engine Biosciences,Close-Up International,Digital Healthcare Solutions,Moberg Pharma,Syngenta,"6612
ICARES Medicus",Kilimanjaro Christian Medical Centre,Wincell Research,,Chiesi,PouraTeb Pharmaceutical Co.,Suubi Medical Centre,Orisil-Pharm,Seguro Americano,Unite Us,,,HANVET,Southern Pain And Spine Specialists,,AudioMax
23,Torga Optical (Pty) Ltd,KKT Orthopedic Spine Center,Homage,Ciber-bbn,MDcentiimos,Wieslab,AstraZeneca,"4735
AViTA",More Africa,Hycare International,,DILIsym Services,DaVita - VONQ,Sawa HealthCare Group,Queisser Pharma Ukraine,Caliset,Cleo,,,Moc Huong Spa,???????????,,Healthyard Enterprises
24,Western Province Blood Transfusion Services,Managers 4 Health,Endofotonics,Hospital Universitari Sagrat Cor,Medi-Trust,Camurus,edit,"6762
Delta Asia International",Hitech Sai Healthcare Centre,Specialty Natural Products,,0,Seegene Middle East,AMBULANCE AFRICA,Lege Artis,Psico Salud Uruguay,Komodo Health,,,AOSC,Low Carb Health Club,,Plaza Distribution
25,0,0,MyDoc,Elanco Spain,Life Plus,3M Svenska,Switzerland,"8403
ShareHope Medicine",Kilimanjaro Orphanage Centre,Thaiherbweb,,Philips,Corpofino Spa & Slimming Lounge,Holy Innocents Children's Hospital,Pharmasco,Rinque Pharma,Evidation Health,,,Minh Khoa Medical Equipment,Cbd - Seven,,SGS Stanserv
26,Molecular Diagnostic Services,HSEC Services,Biofourmis,Farmavenix,Total Ayurveda,Achima Care,Hoffmann-La Roche,"1786
SciVision Biotech",Muhimbili National Hospital,Panapat Healthcare,,GE Healthcare,Al Arabia for Building and Constructions,Kampala Audiology and Speech Centre Site,Ayapharma,Fotmer Life Sciences,0,,,Nha Khoa Minh Thu,Cleveland Clinic,,SPCA Clinic
27,Set Point Laboratories,Gulf Health Council,Clearbridge Biomedics,Clinica Baviera,Spm Clanka,Carlanderska,Novartis,"4129
United Orthopedic",Kairuki Hospital,Health at Home,,Memorial Healthcare System - South Florida,LIFE Healthcare Group,Bwindi Community Hospital,Vishpha,Benten Biotech SRL,,,,Travetco,Arab Medical Tourism,,Suburbs Dental Centre
28,UIS Analytical Services,Advanced Rehab Center,Ucare.ai,Unidental,Ruhunu Hospital,Uni-Pharma S.A. Pharmaceutical Laboratories,Alcon,"6747
Brighten Optix",Sali International Hospital,Saika Health,,Siemens Healthineers,Lighthouse Arabia,Joint Clinical Research Centre,Lucky-Pharma,Medicaa,,,,VietCan,Esnad Medical Management,,Athol Evans Hospital
29,The Scientific Group,Green Crescent Hospital,Healint,El Hospital Universitario Virgen de las Nieves,Northern Central Hospital,Bristol-Myers Squibb Sweden,Bayer,"4171
GeneReach Biotechnology",Selian Lutheran Hospital,KASPA PHARMACEUTICAL,,Abbott,Otex Medical Equipments Trading,Kisiizi Hospital,??? "??? "????????" Ukrintech,Clinica Odontologica Difiuri - Falcioni,1. McKesson Corp,,,Bluecare,,,The Business Etiquette Clinic
30,Herbex,0,Privi Medical,Novaedat centros residenciales,Vasana Hospital,Reig Jofre,Lonza Group,"6744
Feng Chi Biotech",The CCBRT,M&H Manufacturing,,BlueMagic Group,Synergy Pharma,Kibuli Muslim Hospital,MITEK,Estética Dental Uruguay,"Founded in San Francisco in 1833, this health care corporation has emerged as an industry leader in delivering medical and pharmaceutical products.",,,Merck Sharp & Dohme,,,Genesis Holistic Health Centre
31,Food Consulting Services,BASMA,Child Health Imprints,0,Central nursing home,Rättsmedicinalverket,Abbott,"6767
Wiltrom",Premier Care Clinic,0,,Longevita,Lamssa Clinic,Gulu Independent Hospital,BioTexCom,Denta2000Lab,2. UnitedHealth Group,,,Anova Pharma,,,Kwekwe Polytechnic
32,Pharmaco Distribution Pty Ltd.,GNMed Est,Neuroglee Therapeutics,LetsGetChecked,Life Support & Nursing Care,Unimedic,Galenica,"3373
Radiant Innovation",Tasakhtaa Global Hospital,White Treasure International,,B. Braun,Al Essa Medical and Scientific Equipment Co. WLL,IoM,Movi Health,Nube Serena Holding,3. CVS Health,,,Medtek J.s.c,,,SafeMed
33,Fine Test,Muhayl National Hospital,QT Vascular,Valley Behavioral Health,Colombo Dental Clinic,Gärahovs Bygg,Actelion,"4106
Apex Medical",International Eye Hospital,XanSiam International,,Bahçeci,International SOS MEA,Advanced Skin Clinic,Biopharma,Siquimia,4. AmerisourceBergen,,,LILAMA - Electromechanics Testing JSC,,,Baines Avenue Clinic
34,Sandton Optometrists,Al Basar Medical Supplies,Cornea Biosciences,Soria Natural,Christell Skin Clinic,Predire Quality Testing Technologies,Johnson & Johnson,"4163
INTAI Technology",Nyangao Hospital,FOCUSLAB,,Pfizer Health Solutions,Hybrid Health Solutions - HHS,IRAN-UGANDA HOSPITAL,Pharmplanet,,5. Cardinal Health,,,Công Ty TNHH Thi?t B? Thu? S?n,,,Zimbabwe National Family Planning Council
35,Taj Ando Pharmaceuticals,KIMS hospital,Cover2Protect,0,ROYAL HOSPITAL,Cepheid Sweden,Janssen-Cilag,"4104
Excelsior Medical",ELITE DENTAL CLINIC,MAXi Cosmetic Surgery,,0,Interhealth Canada,Acheru hospital,Pharmex,,6. Express Scripts,,,Healol Pharmaceuticals Sdn Bhd,,,Bulawayo Orthopaedic Hospital
36,DNAlysis,Almas Ideal Medical,Mobio Interactive,Grifols,The Radiant Eye Hospital,KLEVA Pharmaceutical,Johnson & Johnson,"6637
Medical Imaging",ALFA Clinics,ASTRACO MEDICAL NETWORKS,,D?zen,NEXtCARE,Bwindi Community Hospital,Ersel Pharma Ukraine,,7. Anthem,,,Vellpharm,,,Baines Occupational Health Services
37,Medical Network,Souq Dental,Ssivix Lab,Quiron Hospital Group,Ceylinco Healthcare Services,Bioglan,Sonova,"1784
BIONET",909 Dental Centre,Livegg,,Optimed Sa?l?k Hizmetleri,,Alive Medical Services,Darnitsa,,8. Kaiser Permanente,,,DALAT FLOWER FOREST BIOTECHNOLOGY,,,Prospect Palms
38,Synexa Life Sciences,Retal Clinic,Neurobit Technologies,UKSH,Dr. Neville Fernando Teaching Hospital,Beckman Coulter,Stäfa,"1788
Hi-Clearance",Kism,BNK Bioscience,,Gen Pharmaceuticals,,Butabika Hospital,Novalik-Pharm,,9. Aetna,,,Siam Reiki,,,The Avenues Clinic
39,Bergman Ross and Partners Radiologists,Yanbu National Hospital,GERO,Insud Pharma,Durdans Hospital,Åsele Kommun,Ferring Pharmaceuticals,"6665
Healthconn",Songambele Hospital,"BTO WORLD CO.,LTD Business Consulting Service",,Roche,0,Kanginima Hospital,BIOFARMA,,10. Humana,,,Celeste Group,,,Oncocare Zimbabwe
40,Ecoguard Biosciences,IC Center Dental Clinic,Scanbo,Applus+,New Delmon Hospital,Älvsbyns kommun,Saint-Prex,,All Smiles Dental Clinic,Samaphan Health,,Lokman Hekim Engurusag Saglik Turizm Egitim Hizmetleri ve Insaat Taahhut A.S,Other related lists:,Amoy Street Dental,Smart Pharma,,,,,Outlook Technical Services,,,BMC Hospital
41,Ecsponent Biotech,0,Praktice.ai,WerfenLife,0,0,Galderma,,0,Meditech Trading,,Koru Health Group,IMS Health,0,CURE FORWARD,,McKesson,,,0,,,Newlands Clinic
42,Reproductive Health & HIV Resaerch Unit (RHRU,Salehiya,Leben Care Technologies,Exeltis USA,Sri Lanka College of Psychiatrists,Attendo,Octapharma,,Divinegrace Dental Clinic,Medica Innova,,The LifeCo,The Methodist Hospital System,Benedictine Eye Hospital,BRIGHTER AB,,AmerisourceBergen,,,SPM,,,National AIDS Council
43,Medequip,Northside Hospital,MEDO.ai,Grupo Hospiten,Ratmalana Audiology Centre,Midsona,"Lachen, Switzerland",,Roche Health Center,Mahachai 2 Hospital,,Vitale Hastanesi,Fakih IVF Medical Clinic,Kaaro Health,ALLSCRIPTS,,Cardinal Health,,,Babyme,,,Sizolwethu Health Trust
44,Bio Analytical Research,Siemens Healthineers,Kronikare,Baxter Spain,Primrose Dental Surgery,Stenungsund,Vifor Pharma,,Mvumi Hospital,Marske Machine,,Kahraman Ortodonti & Estetik Di Klinii,Unity Resources Group,St. Andrews Clinics,NIMEDICAL,,Kaiser Foundation Hospital,,,Smart Health,,,Parirenyatwa Group of Hospitals
45,Moscon Optics Group,King Abdullah University Hospital,Doctorxdentist,Clinic Barcelona,College of Chemical Pathologists of Sri Lanka,Älvdalens kommun,Straumann,,Powerweb's Hospital,Executive Trading,,Casel,Madar Medical Center,Katalemwa Cheshire,INTERMUNE,,Kaiser Permanente,,,Japan Vietnam Medical Instrument Joint Stock,,,Zimbabwe Association of Church-Related Hospitals
46,0,0,0,Qilu Pharmaceutical,Lifezo Pharma,Timrå Kommun,Tecan,,International Eye Hospital,Kaidee Shop,,Er-Kim Ilac A.S,Pharmatrade,Recura,BRUXLAB,,Procter & Gamble,,,FLATGEO Consulting,,,Zinqap
47,Aspirata,Aster DM Healthcare,HCA Healthcare,Almirall,Spamed,Mora kommun,Männedorf,,Alshifa,"Insulation Engineering and Consultant CO., LTD - IEC",,Maya Pharma,Ufit International,City Ambulance,DANFYSIK,,Pfizer,,,Hello Doctor,,,Apple Pharmaceuticals 
48,Libertas Retirement Centre / Aftree-Oord,Sultan Bin Abdulaziz Humanitarian City,Mölnlycke,Soloptical,J.M. Wickramarachchi,Arvidsjaur,Zofingen,,IST Clinic,Future Medical Supply,,Apex Cerrahi Tp Merkezi,Kings Medical Center,Le Memorial Medical Services,0,,Merck & Co.,,,Phong Phu Pharmaceutical JSC,,,Baloon flight pharmaceutical  
49,Parkmore Health & Wellness,King Fahad Armed Forces Hospital,Lee Health,Cupa Group,Lifeline Pharmaceuticals,Malung-Sälens kommun,Baar,,ELITE DENTAL CLINIC,Nida Pharma Incorporation,,Dentart Az Di Sal Poliklinii,Al Amin Medical Instruments Company (AMICO),Lubaga Hospital,S PHARMA,,HCA Healthcare,,,Nha Khoa Lan Anh,,,Emadeni Pvt.Ltd 
50,Biomedical Emporium,King Khaled Eye Specialist Hospital,Sime Darby,Esteve,CONFIDENCE MEDICAL CENTRE,OneMed,Burgdorf,,Machame Hospital,SIRIBUNCHA,,Esteticare Tp Merkezi,AccuMed Practice Management,Donau Dental,Pharmaceutical company Zdorovie,,MountainStar Healthcare Hospitals,,,Dr Nguyn Xun Cng,,,Essential Healthcare Products 
51,Benoni Health Centre,Green Crescent Hospital,National HealthCare,Hospital Son Llàtzer,OHLUMS CLINIC & LABORATORIES,Strömsund,Meyrin,,German Dental Clinic,Asia Global Research,,DentGroup,Emirates Home Nursing,0,Donau Lab Ukraine,,Janssen,,,Vemedim,,,Iran Clinic in Zimbabwe 
52,Onderstepoort Biological Products,Private,DaVita,Hospitales San Roque,Tech Water Laboratories,Tingsryds Kommun,Basilea Pharmaceutica,,Haydom Lutheran Hospital,0,,Farmasol,UpToDate - UK,Kazuri Medical,Devenup,,Abbott Laboratories,,,Chanh Duc,,,Jadco Investment Ltd. 
53,Precision Medical Laboratories,Dr. Abdulaziz Alajaji Dental Polyclinic,AEvice Health,Hospital POVISA,SJ Enterprise Pvt,Filipstads kommun,Debiopharm,,MHS - Massana Hospital,Aditya Birla Chemicals,,dealdent Profesyonel Dental ?z?mler,Advanced Cure Diagnostic Center,Hyperbaric Medical Services,Argentum IT Lab,,Shionogi & Co,,,Agimexpharm Pharmaceutical Joint Stock,,,Jademed medical suppliers 
54,Skin Renewal,King Fahad Specialist Hospital,Geo Aesthetics,FAES Farma,Lifeserv,Habo Kommun,Genedata,,Bugando Medical Centre,Bangkok Hospital,,Monitor CRO,Almarfa Medical,HerHealth Uganda,ALCU,,AbbVie,,,Aloola.vn - Siêu Th? Online,,,Kingdom Pharmaceuticals 
55,Hetero,Magrabi Hospitals & Centers,Oriental Remedies Group,Hospital Universitario "Marqués de Valdecilla". Santander. Spain,Bughary Bio Spices,Smedjebacken Energi,Bachem,,Regency Medical Centre,Sriracha Nakorn General Hospital Public,,MAD Wellness,Nutricia,ML Supplies,Ubicom Ukraine,,Thermo Fisher Scientific,,,Nha Khoa An Tr,,,Koolcare 
56,ALCO-Safe,Gulf Medical Company,Speedoc,0,KLINTAS,Götenebostäder,Molecular Partners,,The Plaster House,Samitivej Hospital,,0,The Aim Solutions Provider,Medilink Lab & Surgicals,Cytology and Genetics,,Bristol-Myers Squibb,,,Cuu Long Pharmaceutical Joint Stock,,,Laryscope Healthcare 
57,Doctor Annemie Vander Straeten,0,0,Laboratorios Farmaceuticos ROVI,Tycon International,Hallsbergs kommun,Dielsdorf,,Arusha Medivac,Mega We Care,,AstraZeneca,VLCC International,Eye Care Centre Uganda,Arrest Pain Meds,,Ascension,,,Ecoblader,,,Laryscope Healthcare 
58,Mens Clinic International,KFSHRC,Anytime Fitness,Normon,CeyHerbal Lanka,Hofors Bibliotek,Kirchberg,,SANITAS Hospital gallery,WÖRWAG Pharma International,,Janssen,Curves - Dynamix Fitness Club,Webconcept,Nuricare,,Amgen,,,Lynh Farma,,,Lidem Pharm Distributors 
59,TC Med,NGHA,HCA Hospice Care,PULEVA Biotech,Vitiligo Lanka Ayush Ayurveda,Svenska Psykiatriska Föreningen,Novimmune,,,Ramkhamhaeng Hospital,,Merck,Nova Medical Center,Maisha Med,Rikas Medical,,Gilead,,,Vimedimex Medi - Pharma Joint Stock,,,Mashona Vet Pharmacist 
60,COYNE HEALTHCARE,KFMC,Biofourmis,Ixis Solutions,Jendo Innovations,Orust,Schlieren,,,Chularat Hospital Public,,Bristol Myers Squibb,Tabuk Pharmaceuticals Manufacturing Company,Flexi Healthcare,Gorod24,,,,,Mediworld Biotechnology,,,Masquip Health Care 
61,Lake Smit & Partners,Security Forces Hospital,DoctorxDentist,Medichem Manufacturing,Surgifusion N S,Bollebygds kommun,Altdorf,,,Sikarin Public Company Limited,,Boehringer Ingelheim,National Reference Laboratory (NRL),Uganda Muslim Medical Bureau,Takeda Ukraine,,Eli Lilly,,,Adige Pharma,,,Muna International 
62,SSEM Mthembu Medical,Ministry of Health,Swisslog Healthcare,Consorci Sanitari Integral,0,0,Alexion Pharmaceuticals,,,Pfizer Thailand,,Novo Nordisk,Verathon,Central Public Health Laboratories,Lumier Pharma,,,,,0,,,Ndlombo Distributors 
63,HospiceWits,King Saud Medical City,2200 Westlake Dentistry,Mar Parc de Salut MAR,Meditechnology Holdings,Karo Bio,Amgen,,,Thai Nakarin Hospital PCL,,MSD,The GWB Group,Osteopathy Malta,Actavis,,,,,Cng Ty TNHH TM DV TB XD Tn Kin To,,,New Avakash International 
64,Mediplus,Abbott,ASM,Institut Pere Mata,Emar Pharma,Mobilkranföreningen,Rotkreuz,,,Bumrungrad International Hospital,,Merck KGaA,Dubai Community Health Center,Wh Lung,International medical forum,,,,,Bidiphar,,,Oxtalk Enterprises 
65,Advanced Health,Philips,Parkway Holdings,Consorci Sanitari de l'Anoia,NEEM Glow Pharmas,Vitrolife,Baxter International,,,Aikchol Hospital,,Eli Lilly and Company,OLKAR Animal Health,APITECH,MedEstet Center,,,,,Phng Khm Sn Ph Khoa Ana,,,Pharmlife Pharmaceutical Distributors 
66,Reitzer Pharmaceuticals,GE Healthcare,EPH,Althaia,PTC Holdings,Tidaholms Energi,Beckman Coulter,,,Ladprao General Hospital Public,,Medtronic,,Transcell Biotech Systems,Farm-ROST,,,,,ITS GROUP. All Rights Reserved,,,Planet Pharmaceuticals 
67,0,Bupa,St. Jude Children's Research Hospital,Hospital Universitario de Torrevieja,Biomedite,Markaryds Kommun,Becton Dickinson,,,Chiangmai Frozen Foods Public,,0,,Aiveen,Pentagon labs,,,,,TNT Medical,,,Platinum Holdings Company Pvt Ltd 
68,International SOS,0,0,Hospital Manises,MicroChem Laboratories,Ånge kommun,Eysins,,,OLIC,,Testmer,0,Kwality Afro Asia,New Hope,,,,,CTHospital,,,Remedy Medical Solutions 
69,Liberty Medical Scheme,UpToDate - UK,National Healthcare Group,Hospital Universitari Sant Joan de Reus,NiiX Holdings,Södertörns brandförsvarsförbund,Biogen,,,Prenetics,,Alke Saglik Ürünleri San. ve Tic. A.S,Al Zahrawi Medical,SAS Hospital,0,,,,,Erection Electromechanics Testing JSC,,,SACRED HEART PHARMACEUTICAL 
70,Discovery Health Partners,Almarfa Medical,International SOS,Hospitales Católicos de Madrid,SAFE LIFE PHARMACEUTICAL,Munkedal Municipality,Baar,,,DKMS and DK Medical Service,,Ali Raif,International Modern Hospital,Uganda Cancer Institute,Innovapharm,,,,,Sum Pharma,,,Stage Alliance Marketing Services Pvt Ltd 
71,Private,Excellence Health Institute,Zenyum,Agencia Pública Sanitaria Poniente,TruVic Private,Tranemo kommun,Bio-Rad,,,Jack Chia Industries (Thailand) Public,,Medek,Drs. Nicolas & Asp Clinics,Unity Skin Clinic,System Medical Equipment,,,,,VINPHACO,,,UTANO AFRICA PVT LTD
72,ICAP at Columbia University,Keydent Trading,UMC,Catalan Institute of Oncology,Sunpro Healthcare,Robertsfors,Caris Life Sciences,,,Thonburi Medical Centre Public,,Diagon Kft,Bayan Medical,0,Ecopharm,,,,,Anviet,,,Westend Radiology
73,hear.com,Sanad Healthcare,Doctor Anywhere,Novo Nordisk Pharma,Sri Lak Laboratory Services,Folktandvården Skåne,Celgene,,,0,,Drogsan Pharmaceuticals,NEXtCARE,Case Hospital,Cell Therapy Center Emcell,,,,,Cai Lay Veterinary Pharmaceutical Joint Stock,,,Spirit Net Technologies
74,Vitality Group International,GlaxoSmithKline (GSK),NeoDocto,INDUKERN,MedAssist Lanka,Apotek Produktion & Laboratorier,Boudry,,,Bangkok Hospital Samui,,Balkaya Okullar,Al Rahba Hospital,G Aesthetic Wellness Medical Clinic,BTU-Center,,,,,MaNaDr,,,DATALAB
