,Unnamed: 0,0
177,7,Misrspain
178,8,Arafa Holding
179,9,Evyap Egypt
180,10,Contistahl Group
181,11,Imtenan Health Shop
182,12,Setex Group
183,13,Wagdy Moamen Group
184,14,Porcelain International SAE
185,15,Abou Seif Group
186,16,Electrostar
187,17,Delta Aromatic Cairo
188,18,Zuria An IPDIC.NET
189,19,Mamiba
190,20,ETHYDCO
191,21,El Araby Group
192,22,Cimex Misr
193,23,Azza Fahmy Jewellery
194,24,Eva-Cosmetics
195,25,Modern Waterproofing
196,26,Gamma Computer Systems
197,27,JoVi Tronix
198,28,SIRAJ Lighting
199,29,kazrouni
200,30,Wind and Wave
201,31,Morgan Car Wear
202,32,General Wood
203,33,Hesni Group
204,34,AL Riyad
205,35,Verdex
206,36,Paft
207,37,Elkotb Textiles
208,38,Fashion Tex Factory
209,39,Mirtec International
210,40,Oubari Group
211,41,Ariika
212,42,Taphaneen Ecommerce
213,43,Abdo Mostafa Rugs
214,44,Hi-Tech Textile
215,45,Medstar
216,46,EgyMed
217,47,Teeba
218,48,Elegant Textile Consultants
219,49,Oleo Misr
220,50,Misr Helwan Spinning & Weaving
221,51,Lava International
222,52,Egyptian Industrial Center
223,53,Mobile Shop
224,54,Cairo Cotton Center
225,55,Asma Group
226,56,International General Trading & Contracting
227,57,Transporter For Imports & Exports ( Noba Brand
228,58,Namaa Flavors & Fragrances
229,59,Startex Textile
230,60,Wattar
231,61,Vacu International
232,62,Gamma International
233,63,Almatex
234,64,Egyptian Spinning & Weaving
235,65,Queen
236,66,Espresso Perfetto Egypt
237,67,Kolshenkan Online Shopping
238,68,Al Raheem Group
239,69,AV Solutions
240,70,Sportica
241,71,Moquette Centre
242,72,Royal Tents
243,73,Embrator
244,74,Midland Chemicals Middle East
245,75,Salamtex
246,76,Weiser Cosmetics
247,77,EshraTex
248,78,Huwa Design
249,79,Dasho DMC
250,80,Gitex
251,81,Nagada
252,82,KAN - Korea & North Africa For advanced industries and assemblies
253,83,Bio Cleana
254,84,JY | Studios
255,85,Technical Chemical Laboratories
256,86,General Company for Ceramic & Porcelain Products
257,87,Prado Egypt
258,88,Dice Factory
259,89,Knoozy
260,90,El Nasr Clothing & Textiles
261,91,Modern Broadcast Center
262,92,Sanden Intercool
263,93,GlamSmile
264,94,SunnaPharma
265,95,International
266,96,Sharabati Denim
267,97,Systems Design
268,98,SAVCOM
269,99,Mera Tiernahrung
270,0,Juhayna Food Industries
271,1,Edita Food Industries S.A.E.
272,2,Domty - ARABIAN FOOD INDUSTRIES CO.
273,3,Egypt Foods Group
274,4,Abu Qir Fertilizers
275,5,Mopco
276,6,Al Ahram Beverages
277,7,Arma Food Industries Company
278,8,Wadi Holdings S.A.E.
279,9,Daltex for Agriculture
280,10,El Rashidi El Mizan Confectionery
281,11,Gourmet Egypt
282,12,Cairo Poultry Co.
283,13,PepsiCo - Egyptian Bottling Company
284,14,SEKEM Group
285,15,Nestlé Egypt
286,16,The Arab Dairy Products Co.
287,17,Borg Al Arab for Industry
288,18,IFFCO Egypt
289,19,EFIC - Financial & Industrial Egyptian Co.
290,20,Nile Herbs
291,21,Evergreen Export & Supplies
292,22,ASINA For Import & Export
293,23,Alkarnak herbs
294,24,Alfrma for food industries
295,25,CEFA HERBS
296,26,Aca-go company
297,27,Boom Plus For Manufacturing and Commerce
298,28,Lashobak
299,29,AGRO Middle East
300,30,"ANB for Manufacturing, Packing and Exporting Agriculture and Food Products"
301,31,"Fresh, Kosher, IQF Frozen, Fruits, Vegetables, Egypt"
302,32,Green Vision Egypt
303,33,1970
304,34,Fahd Peanut
305,35,Indomie Egypt (SAWATA)
306,36,Shali Siwa Salt
307,37,Tamer Semida Office for Agro-Projects Management
308,38,"ACWATAB"" ARAB COMPANY FOR WATER TREATMENT & BOTTLING"""
309,39,Agrotopia Farms
310,40,Al bahriya systems & Services
311,41,Al Wedyaan Farm
312,42,Almassat Life Sciences
313,43,Angel Yeast
314,44,Arabex
315,45,arrowheadherbs
316,46,Ben Tre Coconut Investment Joint Stock Company
317,47,Boom Plus For Industry & Commerce
318,48,Btrade (Import & Export)
319,49,CARAVAN MARKETING COMPANY
320,50,Caterista Catering
321,51,Circle 5 clinic
322,52,Egitra
323,53,Egyfruits For Export Agricultural Products
324,54,El Manar Stainless Steel Sinks ???? ?????? ????? ??????? ????
325,55,ELBashayer For Export
326,56,Eltayseer For Import & Export
327,57,Elwadi for Agrculture Products
328,58,Globe Exports
329,59,Green Harvest Egypt for import and export
330,60,"Harvest for Exporting Crops, Vegetables & Fruits"
331,61,Helia Mix Shop
332,62,hitac trading for exporting fruits and vegetables
333,63,HorecaStar
334,64,Isotek Egypt
335,65,Jawda International Trading
336,66,Labary
337,67,mito for food industries
338,68,nabil abdelmaboud coffee roaster
339,69,Norica Food
340,70,nutrihealth
341,71,Om El Nour Group
342,72,Paste & Juice
343,73,Pelican International Trading Solutions
344,74,Salt Maadi
345,75,Snow Fresh Egypt
346,76,TechnoLab
347,77,UD Crops
348,78,Wonders Food
349,79,The Coca-Cola Bottling Co. of Egypt S.A.E.
350,80,Kraft Foods Egypt
351,81,ISIS For Food Industries
352,82,3m for Import & Export
353,83,"A Phuongdong Food Processing Export Co., Ltd."
354,84,ABC Trading Island for Import and Export
355,85,"AGRIDEV FOR IMPORT, EXPORT AND AGRICULTURAL DEVELOPMENT"
356,86,AGRO SAFE FOR CHEMICAL
357,87,Al Ekhlas
358,88,Al Shark Confectionery
359,89,Al-Watania Poultry
360,90,Alamin Company for Industry
361,91,alnour co_operation
362,92,Alpha International Group
363,93,AlSalos
364,94,AMLK Trading
365,95,BabrezkExpo for Export of Agricultural Products
366,96,Basmatio
367,97,BEN TRE IMPORT EXPORT JOIN STOCK CORP (BETRIMEX)
368,98,Betrimex
369,99,BITC - My Beverage industry and Trading
370,100,brand house
371,101,CHISLO AVOGADRO
372,102,City Agri Traders For Import And Export
373,103,Dairy Dreams Egypt
374,104,DALIL TRADING GROUP Food Export
375,105,Dana Farm - Nubareya
376,106,Digital Analysis Laboratories
377,107,Egna Agriculture
378,108,Egyptian Eagle
379,109,Egyptian farmers for dairy products
380,110,Egyptian Fruit Export
381,111,Egyptian Trans International Markets
382,112,El Nubaria Automation & Agricultural Services
383,113,"EL Shazly Import, Export and Processing of Natural Casings"
384,114,ElTeriak Agricultural Development
385,115,Eng. Abou Mousa Sweets
386,116,ETS Yankadi
387,117,European Company for Restaurants & Touristic projects
388,118,Expo International For Food Industry
389,119,Exporting Fruits & Vegetables
390,120,Extra Global
391,121,Farm herbs Company for Export
392,122,Farmex
393,123,FESH FASH SNACKS FOOD
394,124,Feteera
395,125,Fruit Link
396,126,fruitlink
397,127,Ghoneim Group
398,128,GLOBAL TRADING CO.SARL
399,129,goodluck tea processors pvt. ltd.
400,130,green hand egypt
401,131,greenup
402,132,Herbsmakers
403,133,Jana Agriculture
404,134,JWS Marketing
405,135,Kamel Bakery for Food Products - CookieMan
406,136,Khaled Pastry
407,137,Knockmart
408,138,Megha Products
409,139,Meri Chai
410,140,Misr International Company for making and preparing agricultural harvests
411,141,Monginis Foods & Services Ltd.
412,142,Munchies Madness
413,143,Nil Greens
414,144,Nile Herbal Co
415,145,Pharma Net Egypt
416,146,Point Foods
417,147,queen pack
418,148,Roha Dyechem LLC.
419,149,SALA FISH FOR IMPORT AND EXPORT
420,150,Semadco - ElNasr Company for Fertilizers and Chemical Industries
421,151,South Egypt for Agriculture Development S.A.E. ( SEAD)
422,152,spice home
423,153,Stars of Export Co.
424,154,Sweet Source
425,155,Tartino Patisserie
426,156,Thanh Long import export company
427,157,Tinapay Sushi and Kamayan Restaurant
428,158,"Tran Han Co., Ltd"
429,159,TRINITY COMPANY
430,160,United Group For Investment And Trade
431,161,Vita Boom
432,162,www.chinacolorsorter.com
433,163,www.ekolfirinmakina.com.tr
434,164,Black and Romans Machinery and Robotics
435,165,Bloom for Agricultural Investment
436,166,Arabex co.
437,167,AbouwardA
438,168,Elhusseiny Trade
439,169,Kombucha Egypt
440,170,3lfraza
441,171,Amir General Trading
442,172,Delta Company for Import and Export
443,173,ZITOUNA
444,174,GLOBALHERBS
445,175,tomastex
446,176,Wasel juice shop
447,177,CDC Technology
448,178,Elbardy for Export
449,179,"iHerbs Co., LLC"
450,180,Organic Import & Export
451,181,Alaghsan
452,182,As-Sonbolah for Food Industries
453,183,Dinafarms
454,184,El Shalakany Eng. Co.
455,185,Naggar Trading & Consultancy
456,186,Naumi & Kamji corp sarl
457,187,PlanTech
458,188,Three Chefs
459,189,ElDeyab group
460,190,Alex group Import & Trading Agencies
461,191,krmena for importand export
462,192,Modern Agriculture Co.(PICO)
463,193,Octet Fruits
464,194,all foods
465,195,ARMA Group
466,196,AZZ Trading plc
467,197,d213f6ad-ea8a-4a10-9ddf-78bac0200639
468,198,Grow Foods LLC
469,199,ira for trading
470,200,Mexsalines
471,201,Misr poultry group
472,202,morya
473,203,NVOC
474,204,Petvit
475,205,Pure company for export
476,206,Pyramids Foods
477,207,Salama For Import & Export
478,208,Makro Egypt
480,210,Al nour for export and import
481,211,3 M S Said Trade & Industry
482,212,A.M.K. Import and Trading
483,213,A.M.S Export & Import Co.
484,214,ABC Display Store Fixtures
485,215,Abou Aly Restaurant For Sea Food
486,216,Aboul Fotouh for Import
487,217,Abu Ashara for Trading and Import
488,218,Advanced Global Industries (AGI)
489,219,AFG - Abou Farha Group
490,220,African Development Co. For Trade - ADCO
491,221,Agnadeen for Trade and Industry
492,222,Agrina Import and Export
493,223,Agro Alex Group Co. for Agricultural Industrialization Import and Export
494,224,Agropharma Egypt
495,225,AHEF Healthy Food Company
496,226,Ahmed Eid Import & Export
497,227,Ahmed Mohamed Hussin Soliman and Partner
498,228,Ahmed Mohamed Raslan Co.
499,229,Ahmed Zaki Company for Meat Importation
500,230,Al Abbasi Co. for Import & Export
501,231,Al Ahmady for Chocolate and Confectionery
502,232,Al Ahram Co. for Cultivation & Exporting Agricultural Products
503,233,Al Alamia for Import & Export
504,234,Al Amin Rice Mills Group
505,235,Al Amreety For Importing Foodstuffs
506,236,Al Andalus For Importing & Exporting Agricultural Crops
507,237,"Al Arabia For Marketing, Agricultural Services & Land Reclamation"
508,238,Al Dahlia Company
509,239,Al Elwany for Import and Export
510,240,Al Enany Co. for commodities food (Rose Tea)
511,241,"Al Ezz Co. for Import, Export and Trading Agencies"
512,242,Al Fath For Decor
513,243,Al Hadary Food Industries Co.
514,244,Al Helal
515,245,Al Malek Faisal Co. for Trading Tires and Batteries
516,246,Al Maleka Co. For Olive & Food Industries
517,247,Al Mamar Co. For Contracting & General Supplies
518,248,Al Mansour For Sweets and Food Industry Integrated
519,249,Al Mansouria for Projects and Development S.A.E
520,0,Unilever Ghana
521,1,Ghandour Cosmetics
522,2,Compu Ghana
523,3,Pioneer Kitchenware
524,4,Pioneer Kitchenware
525,5,Printex
526,6,PZ Cussons Ghana
527,7,Adu Amani
528,8,Seven Seas
529,9,DBS Industries
530,10,Asadtek Group
531,11,Sekaf Ghana
532,12,Pascual Sports
533,13,Belshaw
534,14,Nsoroma GPS
535,15,GTP Fashion
536,16,Canada Optical Laboratories
537,17,Cool West Africa
538,18,Canada Optical Laboratories
539,19,PARACHEM GHANA
540,20,Berrak Manufacturing
541,21,TAMA Cosmetics
542,22,Phasers Integrated Systems
543,23,Densu Industries
544,24,MGL Naturals
545,25,Lecaro
546,26,Eco Prime Solutions
547,27,Akosombo Textiles
548,28,Crafty Chic Zone
549,29,Lightingale
550,30,Crystal Oasis
551,31,Prettyiris Acne Spa
552,32,Bigdata Ghana
553,33,Eid Weighing Systems
554,34,ETG Ghana
555,35,Adubea Jensen
556,36,GreenMile Resources
557,37,Toolcenter
558,38,Golf World
559,39,C. Woermann
560,40,Mega World Centre GH
561,41,Specialised Timber Products
562,42,Horseman Shoes
563,43,Luminant Electricals
564,44,Nim Tree Shelters
565,45,Kaeme
566,46,Daprof Herbal
567,47,Nokware
568,48,Bbq Store Malta
569,49,Mr K Fashion
570,50,OGA Golden Apparels
571,51,Essiebons
572,52,Pat Thomas Enterprise
573,53,Matamiss Pottery
574,54,KAD Manufacturing
575,55,KoliKoWear
576,56,RinBeth Clothing
577,57,Up Records Gh
578,58,Mahawe
579,59,Gig Clothing
580,60,Frances Fashion
581,61,Devee's collections
582,62,Mi-Style
583,63,Standard Weave
584,64,G-Heights Clothing
585,65,Artisans
586,66,Ring
587,67,Trackmaster.com.gh
588,68,Debbies Products
589,69,Center for Cosmetic Surgery Ghana
590,70,GODAK-Concepts Technologies
591,71,Ghana Veneer Processing
592,72,Www.o3africa.com
593,73,Hamamat
594,74,HiPPO RECORDS
595,75,NAVI Clothing
596,76,WB Diamond Tools & Machinery
597,77,Valbona
598,78,StreetMade Records
599,79,Victor Electronics
600,80,Naya by Africa Gh
601,81,K. Dom
602,82,LowPriceGh
603,83,BizGPS Solutions
604,84,Green Butterfly
605,85,Airmask & Textiles
606,86,Autodazzle
607,87,Justina Fashion
608,88,Kaeme
609,89,Bizzotto Products
610,90,Zoemour
611,91,Golden Oil Naturals
612,92,Ghana Bamboo Bikes Initiative
613,93,PriceMagicGh.com
614,94,Soap & Body
624,Brookside,0
625,0,Symian
626,1,Rivatex East Africa
627,2,Rupa Cotton Mills
628,3,Sound Creations
629,4,Doric Industries
630,5,Marvel Lifestyle
631,6,Window Plus EA
632,7,ERINE International
633,8,Technology Sage
634,9,VAVA COFFEE
635,10,Ewaso Ngiro South Development Authority
636,11,Pipe Manufacturers
637,12,Polo Industries
638,13,Servo Balans Africa
639,14,MOLAPLUS
640,15,ENDEAVOUR INSTRUMENT AFRICA
641,16,Mantoz Enterprises
642,17,Elex Products
643,18,STEELWOOL
644,19,Powermax
645,20,Bidco Africa
646,21,African Cotton Industries
647,22,Pwani Oil Group
648,23,Hotpoint
649,24,Kilifi Moringa
650,25,Dormans Coffee
651,26,Creative Innovations
652,27,REA Vipingo Plantations
653,28,Smoothtel & Data Solutions
654,29,Flame Tree Group Ventures
655,30,UltraKenya
656,31,Ivees Organics
657,32,HACO Industries
658,33,PG Bison
659,34,SiSi Pharmaceuticals
660,35,Ken-Knit
661,36,Stainer Electronics
662,37,Stitch Masters
663,38,Ultimate Tracking Solutions
664,39,Typotech Imaging Systems
665,40,Luscious Touch
666,41,Sueng Enterprises
667,42,Ellena Beauty Products
668,43,Tropikal Brands
669,44,Bonk
670,45,Tricom Ke
671,46,Semgil Fibre Solutions
672,47,Dixons Electronics
673,48,Claire Africa
674,49,Bytronics Computers
675,50,Flame Tree Africa
676,51,Soko
677,52,Unicore
678,53,Shade Systems
679,54,Broadcast Solutions International
680,55,Cinnabar Green
681,56,AL MANSOOR
682,57,Soko Huru
683,58,Scales & Software - K
684,59,Luxury Leather Africa
685,60,Diamond Canopies
686,61,Fibre-Tech Systems
687,62,United Aryan EPZ
688,63,Suntech Power
689,64,Organic Savanna
690,65,Blue Ring Products
691,66,Adelphi
692,67,Heritage Foods
693,68,CostWise Electricals
694,69,Yuebiz Technology
695,70,Baisikeli Ugunduzi
696,71,KAPI
697,72,SPOT Tracking
698,73,Box Back
699,74,Spin-Knit
700,75,Future Systems Technology
701,76,Kenabuy
702,77,Buyline Industries
703,78,Luguah Naturals
704,79,Prafulchandra & Brothers
705,80,Nzuri Tanda
706,81,ROCKBERN COFFEE GROUP
707,82,Light Africa Right
708,83,Mombasa Canvas
709,84,Electrohub Investments
710,85,Bestell Computers
711,86,Nomadic Tents
712,87,Double Dee's Lingerie
713,88,Oriental Mills
714,89,Sky Telematics
715,90,Nomad Shades
716,91,Jipambe Services
717,92,Millbrook
718,93,Laser Technologies
719,94,Elite Canvas & Shelter
720,95,AJANI Handmade
721,96,The IGSupplies
722,97,Lheritier Skincare
723,98,CladLight
724,99,Servechem
725,0,DUTY FREE SOURCING
726,0,RT Knits
727,1,Karina International
728,2,Firemount Textiles
729,3,Ferney Spinning Mills
730,4,Grays
731,5,Archemics
732,6,Plastinax Austral
733,7,Cap Kali
734,8,I Spa
735,9,United Touch Group
736,10,New Era Garments
737,11,Island Communications
738,12,Wensum
739,13,ATS Ltd
740,14,SPEX Services Ltée
741,15,Tropic Knits
742,16,SynApps Digital
743,17,SKR Communication
744,18,Star Knitwear
745,19,Decotarp
746,20,Grove Industries
747,21,Simelec Ltée
748,22,Animal Lovers Choice
749,23,Ryan Electric Lighting
750,24,ClimStar
751,25,Digital Textile & Garment
752,26,Great Eastern Providence
753,27,Lovy Diamond Enterprise
754,28,Innowear Cashmere
755,29,Mauvilac Cosmetics
756,30,Kinoo Sons
757,31,TONS Garments
758,32,Rey & Lenferna
759,33,Fit-U Garment
760,34,Creative Collars
761,35,Tamak Textile
762,36,Multi Dimension Fashion
763,37,Compagnie Mauricienne de Textile Ltée
764,38,Startouch GPS Software
765,39,Saskia
766,40,Deco Design Group
767,41,IMEXCO
768,42,NIDOMAC
769,43,Shade Solutions
770,44,GNP WEAR
771,45,Palm Step Electronics
772,46,Top Queen
773,47,Light Concept Nails
774,48,Roxspa
775,49,Mediaspace
776,50,Associated Textiles
777,51,Beekhun & Sons
778,52,Rky
779,53,Clere Cosmetics
780,54,EEAN
781,55,AFRICOR HOLDINGS
782,56,NLM Group
783,57,Video and Audio Communication Services
784,58,Ikes
785,59,Ivy Leathers
786,60,Dainic
787,61,Eco-World Technologies
788,62,iCare
789,63,Sail.mu
790,64,Albert Trading
791,65,REAL Garments
792,66,Mymask.mu
793,67,woven labels
794,68,Machico
795,69,Madon Apparel
796,70,J & J Lemaire
797,71,Ranzlakaz.mu Online Shop
798,72,Ultimate Web Offers
799,73,Universal Weight International
800,74,Guilded Art
801,75,Julie Cascioppo
802,76,Anastasia Ramlall
803,77,Cleanera
804,78,Sun Dance Promotions
805,79,Dato DUO
806,0,Vita Couture
807,1,Softgroup
808,2,Larimode
809,3,Marsteks
810,4,Brosahel
811,5,Textis
812,6,MyShoes.ma
813,7,General Lighting
814,8,Crossing
815,9,Antcom
816,10,Marchime
817,11,Laboratoires Biotal Cosmetics
818,12,Somada
819,13,AGHSANE
820,14,Bio Miss
821,15,Kiron
822,16,Nectarome
823,17,Wanlong Group All
824,18,Solar Eco Systems
825,19,Casablanca Apparel
826,20,Jacobs Presentation Products
827,21,Somitex UK
828,22,Scent'In
829,23,Tiajo
830,24,SINMATEX
831,25,INNO Platre
832,26,High Tech Media
833,27,Avelana
834,28,Errtaj
835,29,Boutique Majid
836,30,Zinnialife
837,31,Espace Cosmetic
838,32,Aliaco
839,33,DXN
840,34,Synergic
841,35,Lachgarco
842,36,The Beloved Few
843,37,SICONTACT
844,38,Tesleem Express
845,39,Dounitex
846,40,Artco
847,41,Ifassen
848,42,Tiscardes
849,43,KOORELOO
850,44,Les Bains de Marrakech
851,45,Argamar
852,46,Auréal Lighting
853,47,MARPHI
854,48,Ville Mode
855,49,Hancott
856,50,Aryans Jeans
857,51,Rita & Moggs
858,52,Cosmetic Argan Oil
859,53,Sidki Cosmetics
860,54,Belpre
861,55,Beyond Marrakech
862,56,Awell Ttl
863,57,Nouvel Espace Serigraphik
864,58,Globotrade
865,59,Prodigia
866,60,Colaruf
867,61,Stand Partners
868,62,Ouled Teima TV
869,63,Youssef Lahlou
870,64,Bella Cosmetics
871,65,Cheratz
872,66,SEPARATOR
873,67,Artisanat Dar Essalam
874,68,NatuMaroc
875,69,Bioadorates
876,70,Scale
877,71,Somaeepa
878,72,BerberCoom
879,73,NaturEsoin
880,74,Narova
881,75,Marrakech Shop Design
882,76,TheCraftyHands
883,0,Mozambique Cotton Manufacturers
884,1,Futurethis
885,2,Satcom
886,3,Tvsd
887,4,"Maputo Optometristas, Lda"
888,5,Iris Santos Design
889,6,Trackmz
890,0,CHELSE FASHION
891,1,Waltons Namibia
892,2,August 26 Textile
893,3,Elso Holdings
894,4,WV Construction
895,5,Pebl
896,6,Radial Truss Industries
897,7,Kiyomisandz Beauty
898,8,Promote-It Corporate Gifts and Accessories
899,9,ColorBlinds
900,10,Dinapama Academy
901,11,Pupkewitz Trucks
902,12,Atlas International
903,13,Bride-Zilla
904,14,Salomie Couture
905,15,Teltech
906,16,Nakara
907,17,Mbiri Skincare
908,18,Torga Lens Manufacturing
909,19,Goldideas
910,20,FiT Sports Lab
911,21,Scents
912,22,GunGus
913,23,Namef Disclaimer
914,0,Top FMCG Companies in Nigeria
915,1,Dangote Group
916,2,Unilever Nigeria Plc 
917,3,Nigerian Breweries
918,4,Nestle Nigeria Plc
919,5,Chi Limited 
920,6,Flour Mill in Nigeria 
921,7,Vital Products
922,8,Sona Agro Allied Foods Limited
923,9,Dansa Foods Limited 
924,10,Yale Foods Ltd
925,11,Beloxxi group 
926,12,Nexans Nigeria 
927,13,La Casera Company Plc 
928,14,OK Foods
929,15,Friesland Campina Wamco Nigeria Plc
930,16,Zubee International Company Limited 
931,17,Bimzy Super Stores Ventures
932,18,DuFil Prima Foods
933,19,Dis and Dart Mart 
934,20,Be Global Food FZE (BGF) 
935,21,Conserveria Africana Limited
936,22,Nutri C
937,23,Apples and Pears Limited
938,24,Sc Johnson – Raid
939,25,Daraju Industries Limited 
940,26,May & Baker Nigeria Plc.
941,27,Farest Mercantile Company
942,28,Deli Foods
943,29,British American Tobacco 
944,30,CWAY Food and Beverages Nigeria Company Limited
945,31,Rites Foods Ltd
946,32,Newbisco Ltd
947,33,Honeyland Foods
948,34,PZ Cussons 
949,35,SOME FMCG COMPANIES IN NIGERIA AND THEIR PRODUCTS
950,36,Dangote Group
951,37,Unilever Nigeria Plc 
952,38,Nigerian Breweries
953,39,Nestle Nigeria Plc
954,40,Chi Limited 
955,41,Flour Mill in Nigeria 
956,42,Golden Penny Flour
957,43,Golden Penny Ball Food
958,44,FMN
959,45,Vital Products
960,46,Sona Agro Allied Foods Limited
961,47,Dansa Foods Limited
962,48,Yale Foods Ltd
963,49,Beloxxi group
964,50,Nexans Nigeria
965,51,La Casera Company Plc 
966,52,OK Foods
967,53,Limited
968,54,Friesland Campina Wamco Nigeria Plc
969,55,Zubee International Company Limited 
970,56,Bimzy Super Stores Ventures
971,57,DuFil Prima Foods
972,58,Plc
973,59,Dis and Dat Mart
974,60,Be Global Food FZE (BGF)
975,61,Conserveria Africana Limited
976,62,Nutri C
977,63,Apples and Pears Limited
978,64,Sc Johnson – Raid
980,66,Daraju Industries Limited
981,67,May & Baker Nigeria Plc
982,68,Fareast Mercantile Company
983,69,Deli Foods
984,70,British American Tobacco 
985,71,CWAY Food and Beverages Nigeria Company Limited
986,72,Rites Foods Ltd
987,73,Newbisco Ltd
988,74,Honeyland Foods
989,75,PZ Cussons 
990,76,FMCG is an acronym used to represent fast-moving consumer goods. Over the years the FMCG Companies in Nigeria have evolved. The industry has changed from what it used to be.
991,0,NASCO Group
992,1,Fouani Nigeria
993,2,N.N Fems Industries
994,3,Imperio International
995,4,Transerve Disc Technologies
996,5,Wemy Industries
997,6,Smartek Appliances
998,7,Daraju Industries
999,8,Transsion Holdings
